연번,군구명,병원종별,의료기관명,소재지,병실수,병상수,진료과목
1,강화군,종합병원,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,74.0,266.0,내과
1,강화군,종합병원,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,74.0,266.0,외과
1,강화군,종합병원,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,74.0,266.0,정형외과
1,강화군,종합병원,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,74.0,266.0,신경외과
1,강화군,종합병원,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,74.0,266.0,흉부외과
1,강화군,종합병원,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,74.0,266.0,마취통증의학과
1,강화군,종합병원,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,74.0,266.0,산부인과
1,강화군,종합병원,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,74.0,266.0,소아청소년과
1,강화군,종합병원,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,74.0,266.0,안과
1,강화군,종합병원,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,74.0,266.0,비뇨의학과
1,강화군,종합병원,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,74.0,266.0,영상의학과
1,강화군,종합병원,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,74.0,266.0,진단검사의학과
1,강화군,종합병원,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,74.0,266.0,가정의학과
1,강화군,종합병원,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,74.0,266.0,응급의학과
1,강화군,종합병원,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,74.0,266.0,치과교정과
2,강화군,병원,강화병원,인천광역시 강화군 강화읍 강화대로312번길 11,24.0,98.0,가정의학과
2,강화군,병원,강화병원,인천광역시 강화군 강화읍 강화대로312번길 11,24.0,98.0,영상의학과
2,강화군,병원,강화병원,인천광역시 강화군 강화읍 강화대로312번길 11,24.0,98.0,비뇨의학과
2,강화군,병원,강화병원,인천광역시 강화군 강화읍 강화대로312번길 11,24.0,98.0,소아청소년과
2,강화군,병원,강화병원,인천광역시 강화군 강화읍 강화대로312번길 11,24.0,98.0,정형외과
2,강화군,병원,강화병원,인천광역시 강화군 강화읍 강화대로312번길 11,24.0,98.0,외과
2,강화군,병원,강화병원,인천광역시 강화군 강화읍 강화대로312번길 11,24.0,98.0,내과
2,강화군,병원,강화병원,인천광역시 강화군 강화읍 강화대로312번길 11,24.0,98.0,산부인과
2,강화군,병원,강화병원,인천광역시 강화군 강화읍 강화대로312번길 11,24.0,98.0,영상의학과
2,강화군,병원,강화병원,인천광역시 강화군 강화읍 강화대로312번길 11,24.0,98.0,마취통증의학과
2,강화군,병원,강화병원,인천광역시 강화군 강화읍 강화대로312번길 11,24.0,98.0,진단검사의학과
